,age,workclass,education-num,marital-status,occupation,capital-gains,capital-loss,hours-per-week,native-country,target
0,39,6,13,4,0,2174,0,40,38,0
1,50,5,13,2,3,0,0,13,38,0
2,38,3,9,0,5,0,0,40,38,0
3,53,3,7,2,5,0,0,40,38,0
4,28,3,13,2,9,0,0,40,4,0
5,37,3,14,2,3,0,0,40,38,0
6,49,3,5,3,7,0,0,16,22,0
7,52,5,9,2,3,0,0,45,38,1
8,31,3,14,4,9,14084,0,50,38,1
9,42,3,13,2,3,5178,0,40,38,1
10,37,3,10,2,3,0,0,80,38,1
11,30,6,13,2,9,0,0,40,18,1
12,23,3,13,4,0,0,0,30,38,0
13,32,3,12,4,11,0,0,50,38,0
14,40,3,11,2,2,0,0,40,41,1
15,34,3,4,2,13,0,0,45,25,0
16,25,5,9,4,4,0,0,35,38,0
17,32,3,9,4,6,0,0,40,38,0
18,38,3,7,2,11,0,0,50,38,0
19,43,5,14,0,3,0,0,45,38,1
20,40,3,16,2,9,0,0,60,38,1
21,54,3,9,5,7,0,0,20,38,0
22,35,0,5,2,4,0,0,40,38,0
23,43,3,7,2,13,0,2042,40,38,0
24,59,3,9,0,12,0,0,40,38,0
25,56,1,13,2,12,0,0,40,38,1
26,19,3,9,4,2,0,0,40,38,0
27,54,8,10,2,14,0,0,60,34,1
28,39,3,9,0,3,0,0,80,38,0
29,49,3,9,2,2,0,0,40,38,0
30,23,1,12,4,10,0,0,52,38,0
31,20,3,10,4,11,0,0,44,38,0
32,45,3,13,0,3,0,1408,40,38,0
33,30,0,10,2,0,0,0,40,38,0
34,22,6,10,2,7,0,0,15,38,0
35,48,3,7,4,6,0,0,40,32,0
36,21,3,10,4,6,0,0,40,38,0
37,19,3,9,1,0,0,0,25,38,0
38,31,3,10,2,11,0,0,38,41,1
39,48,5,12,2,9,0,0,40,38,0
40,31,3,5,2,6,0,0,43,38,0
41,53,5,13,2,9,0,0,40,38,0
42,24,3,13,2,12,0,0,50,38,0
43,49,3,9,5,0,0,0,40,38,0
44,25,3,9,4,5,0,0,35,38,0
45,57,0,13,2,9,0,0,40,38,1
46,53,3,9,2,6,0,0,38,38,0
47,44,3,14,0,3,0,0,40,38,0
48,41,6,11,2,2,0,0,40,38,0
49,29,3,11,4,9,0,0,43,38,0
50,25,3,10,2,3,0,0,40,38,0
51,18,3,9,4,7,0,0,30,41,0
52,47,3,15,2,9,0,1902,60,15,1
53,50,0,13,0,3,0,0,55,38,1
54,47,4,9,0,3,0,0,60,38,0
55,43,3,10,2,12,0,0,40,38,1
56,46,3,3,2,6,0,0,40,25,0
57,35,3,11,2,7,0,0,40,32,0
58,41,3,9,2,0,0,0,48,38,0
59,30,3,9,2,6,5013,0,40,38,0
60,30,3,13,2,11,2407,0,40,38,0
61,32,8,4,3,14,0,0,40,41,0
62,48,3,9,2,13,0,0,40,38,0
63,42,3,16,2,9,0,0,45,38,1
64,29,3,10,0,12,0,0,58,38,0
65,36,3,9,2,2,0,0,40,38,0
66,28,3,10,0,0,0,0,40,38,0
67,53,3,9,2,0,0,0,40,38,1
68,49,4,10,2,3,0,0,50,38,1
69,25,8,10,4,14,0,0,40,38,0
70,19,3,10,4,9,0,0,32,38,0
71,31,3,13,5,11,0,0,40,38,0
72,29,5,13,2,11,0,0,70,38,1
73,23,3,10,4,6,0,0,40,38,0
74,79,3,10,2,9,0,0,20,38,0
75,27,3,9,4,7,0,0,40,25,0
76,40,3,12,2,0,0,0,40,38,0
77,67,8,6,2,14,0,0,2,38,0
78,18,3,7,4,7,0,0,22,38,0
79,31,1,4,2,4,0,0,40,38,0
80,18,3,9,4,11,0,0,30,38,0
81,52,3,13,2,7,0,0,40,4,0
82,46,3,9,2,7,0,0,40,38,0
83,59,3,9,2,11,0,0,48,38,0
84,44,3,9,0,2,14344,0,40,38,1
85,53,3,9,0,11,0,0,35,38,0
86,49,1,9,2,10,0,0,40,38,1
87,33,3,14,2,9,0,0,50,38,0
88,30,3,5,4,11,0,0,40,38,0
89,43,0,16,4,9,0,0,50,38,1
90,57,3,11,2,9,0,0,40,38,0
91,37,3,10,0,2,0,0,40,38,0
92,28,3,10,0,6,0,0,25,38,0
93,30,3,9,2,11,0,1573,35,41,0
94,34,1,13,2,10,0,0,40,38,1
95,29,1,10,4,5,0,0,50,38,0
96,48,5,16,2,9,0,1902,60,38,1
97,37,3,10,2,11,0,0,48,38,1
98,48,3,12,0,3,0,0,40,8,0
99,32,0,9,4,7,0,0,40,38,0
100,76,3,14,2,3,0,0,40,38,1
101,44,3,13,2,3,15024,0,60,38,1
102,47,5,14,4,9,0,0,50,38,0
103,20,3,10,4,12,0,0,40,38,0
104,29,3,9,4,2,0,0,40,38,0
105,32,4,9,2,2,7688,0,40,38,1
106,17,8,6,4,14,34095,0,32,38,0
107,30,3,7,4,5,0,0,40,38,0
108,31,1,9,4,0,0,0,40,38,0
109,42,3,9,2,5,0,0,40,38,0
110,24,3,13,4,11,0,0,40,38,0
111,38,3,15,2,9,0,0,40,38,1
112,56,5,9,2,7,0,1887,50,1,1
113,28,3,10,2,11,4064,0,25,38,0
114,36,3,9,4,6,0,0,40,38,0
115,53,3,5,2,5,0,0,50,38,0
116,56,4,10,2,11,0,0,50,38,0
117,49,1,11,2,2,0,0,40,38,1
118,55,3,10,2,11,0,0,56,38,0
119,22,3,9,4,2,0,0,41,38,0
120,21,3,10,4,7,0,0,40,38,0
121,40,3,13,2,3,0,0,60,38,0
122,30,3,13,4,3,0,0,40,10,0
123,29,6,13,2,9,0,0,50,38,1
124,19,3,10,4,7,0,0,35,38,0
125,47,3,13,2,3,0,0,40,38,1
126,20,3,10,4,0,0,1719,28,38,0
127,31,3,12,2,0,0,0,40,38,1
128,35,8,9,2,14,0,0,40,38,0
129,39,3,10,0,2,0,0,40,38,0
130,28,3,12,4,11,0,0,60,38,0
131,24,3,9,4,7,0,1762,40,38,0
132,38,5,9,2,2,4386,0,35,38,0
133,37,3,13,2,11,0,0,50,38,0
134,46,3,12,0,12,0,0,36,38,0
135,38,0,14,2,9,0,0,40,19,1
136,43,5,9,2,2,0,0,60,38,0
137,27,3,11,2,0,0,0,35,38,0
138,20,3,10,4,11,0,0,20,38,0
139,49,3,10,2,2,0,0,40,38,1
140,61,4,9,2,2,0,0,40,38,0
141,27,3,10,4,11,0,0,40,38,0
142,19,3,10,4,7,0,0,30,25,0
143,45,3,11,4,9,0,1564,40,38,1
144,70,3,10,4,12,0,0,40,38,0
145,31,3,9,4,13,0,0,30,38,0
146,22,3,10,2,7,0,0,24,38,0
147,36,3,9,6,7,0,0,24,38,0
148,64,3,7,2,2,0,2179,40,38,0
149,43,8,10,0,14,0,0,40,38,0
150,47,1,10,0,0,0,0,38,25,0
