,age,workclass,education-num,marital-status,occupation,capital-gains,capital-loss,hours-per-week,native-country,target
0,39,6,13,4,0,2174,0,40,38, <=50K
1,50,5,13,2,3,0,0,13,38, <=50K
2,38,3,9,0,5,0,0,40,38, <=50K
3,53,3,7,2,5,0,0,40,38, <=50K
4,28,3,13,2,9,0,0,40,4, <=50K
5,37,3,14,2,3,0,0,40,38, <=50K
6,49,3,5,3,7,0,0,16,22, <=50K
7,52,5,9,2,3,0,0,45,38, >50K
8,31,3,14,4,9,14084,0,50,38, >50K
9,42,3,13,2,3,5178,0,40,38, >50K
10,37,3,10,2,3,0,0,80,38, >50K
11,30,6,13,2,9,0,0,40,18, >50K
12,23,3,13,4,0,0,0,30,38, <=50K
13,32,3,12,4,11,0,0,50,38, <=50K
14,40,3,11,2,2,0,0,40,41, >50K
15,34,3,4,2,13,0,0,45,25, <=50K
16,25,5,9,4,4,0,0,35,38, <=50K
17,32,3,9,4,6,0,0,40,38, <=50K
18,38,3,7,2,11,0,0,50,38, <=50K
19,43,5,14,0,3,0,0,45,38, >50K
20,40,3,16,2,9,0,0,60,38, >50K
21,54,3,9,5,7,0,0,20,38, <=50K
22,35,0,5,2,4,0,0,40,38, <=50K
23,43,3,7,2,13,0,2042,40,38, <=50K
24,59,3,9,0,12,0,0,40,38, <=50K
25,56,1,13,2,12,0,0,40,38, >50K
26,19,3,9,4,2,0,0,40,38, <=50K
27,54,8,10,2,14,0,0,60,34, >50K
28,39,3,9,0,3,0,0,80,38, <=50K
29,49,3,9,2,2,0,0,40,38, <=50K
30,23,1,12,4,10,0,0,52,38, <=50K
31,20,3,10,4,11,0,0,44,38, <=50K
32,45,3,13,0,3,0,1408,40,38, <=50K
33,30,0,10,2,0,0,0,40,38, <=50K
34,22,6,10,2,7,0,0,15,38, <=50K
35,48,3,7,4,6,0,0,40,32, <=50K
36,21,3,10,4,6,0,0,40,38, <=50K
37,19,3,9,1,0,0,0,25,38, <=50K
38,31,3,10,2,11,0,0,38,41, >50K
39,48,5,12,2,9,0,0,40,38, <=50K
40,31,3,5,2,6,0,0,43,38, <=50K
41,53,5,13,2,9,0,0,40,38, <=50K
